Geneid,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK021_22F,AK029_30F,AK034F,AK098F,AK102F,AK117F,AK123F,AK133F,AK134F,AK135F,AK136F,AK137F,AK138F
ENSG00000149435,39.26,26.44,39.99,4.04,0.11,55.72,53.23,68.84,61.96,110.35,104.9,71.78,18.91,143.33,32.49,78.98,18.38,156.78,53.97,8,28.66,65.91,63.57
ENSG00000101463,4,8,28,2,0,12,19,18,40,20.5,13,13,13,13,5,29,5,58,16,3,13,25,28
ENSG00000077984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000101474,1719,1240,1821,341,30.33,2799.5,3007,3241,2984,4830,3918,4002,1435,5459,1183,4014.33,1127,7196,2540,238,1343,3223,3682
ENSG00000154930,57,57,107,24,5,160,120,203,120.5,237,232,271,51,190,59,148,45,269,130,18,55,159,129
ENSG00000100987,3,7,4,3,0,7,3,2,2,18,11,17,1,1,5,5,0,20,14,1,2,3,8
ENSG00000197586,589,447.33,642,220.33,9,726,713,829,750.33,1921,1340,1559,420,1117.5,407,871,270,2352,983,122,404,877.25,902
ENSG00000100994,590.5,586.83,1077.5,226.33,15.33,3431,2400.17,3480.5,3116.33,2892,3405.67,3110.67,915.67,5736.83,754.33,3641.83,839.25,3256,1409.33,163.33,933.33,2261.03,2539.17
ENSG00000100997,830,577,799,194,3,892.5,999,1044,1015,1673.5,1379.5,1414,615,1659,463,1376,393,3120,1118,154.33,501,1045,1143
ENSG00000101003,535,458,686.5,165,15,958,807,900,848.11,1454,1385,1558.33,359,1561,465,1279.5,412,2298,987,106,316,793,1090
ENSG00000101004,35,85,64,32,6,62.5,65,70,78,267,221,181.33,61,125.2,39,53,46,159,63,42,37,64.5,81
ENSG00000170191,122.5,78.83,178.67,76.33,7,175.5,206.5,186.5,183.67,617.58,464.33,699.17,100.67,245.83,124.33,270.17,139.33,539.33,407.83,66.83,69,140.33,252.67
ENSG00000130684,26,28,51,39.5,1,108,95,119.5,130,322.98,310.75,368.3,56,148.33,60,156.5,80,141.5,128,39.5,29.5,62,173.5
ENSG00000175170,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280297,4.67,3.36,6.26,2.77,0.39,12.41,12.35,10.85,14.64,11.49,14.98,11.37,4.41,10.92,2.94,19.33,3.85,11.99,7.55,1.75,1.77,4.82,15.93
ENSG00000149531,20.06,18.87,29.54,12.56,2.79,43.86,47.07,50.59,65.62,75.93,75.92,73.25,20.33,74.82,12.47,74.8,24.43,87.07,39.19,10.26,17.63,29.13,73.35
ENSG00000215547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
ENSG00000215545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180383,0.5,0,0,0,0,0,0,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000088320,0,0,0,0,0,0,0,0,0.33,0,0,0,0,1,2,0,0,0,0,0,0,0,0
ENSG00000101294,2292,1662,2624,497,22,4545,4528.5,4923.5,5022.5,8268.6,8269.5,6426.33,2160,9519,2170.5,6243.5,2021,9449,4582,474,2181.5,5412,5806
ENSG00000125968,3437,2777,4620.33,3463,503,5283,3991,5058.33,5678,35670.83,30100.5,27271.4,2494,10667.67,7100,5652,5523,14550.67,14817,4243,1986.33,5094.83,5802
ENSG00000131055,0,0,0.5,0,0,0.5,0.83,2,0.75,1,1,1,0.5,0.5,0,0,0,1,0.5,1,0,0.33,0.5
ENSG00000171552,639,405,544,278,17,692,609,682.5,856,2093,1406,1674.5,468,1402,486,933,335,2713,1142,222,413,895.33,1336
ENSG00000088325,377.33,352,627.09,117,19,1790,1427.5,1883.03,1784.33,1258,1577.5,1754.5,629.53,3756.5,377,2196,482,1083.5,407.5,42,371,958.5,1886.11
ENSG00000101306,1,3,1,0,0,1,3.67,6.33,2,17.83,5.33,3,6,4,1,2,0,4,3,2,0,0,1.33
